INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\ctypes\__init__.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\files\base.py first seen with mtime 1699555231.9815495
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\http\__init__.py first seen with mtime 1699555232.1294503
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,792 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\options.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,793 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,793 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1699555232.2038841
DEBUG 2024-08-01 23:57:15,793 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1699555232.0338223
DEBUG 2024-08-01 23:57:15,793 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\asgiref\local.py first seen with mtime 1699497471.2279625
DEBUG 2024-08-01 23:57:15,797 utils (0.015) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-01 23:57:15,797 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1699555231.9815495
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1699555232.1775656
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\logging\config.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\encodings\cp1252.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1699555231.9815495
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\numbers.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\encodings\aliases.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,800 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1699544495.8222134
